"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",27.9706684124186,1.95262456849961,14.3246525029187,1.06116538039616e-36
"2","data_combine[, 9]",5.42806288167778,2.01828601113256,2.6894418589523,0.00751217040181199
"3","data_combine[, 12]",29.3512687059034,5.63310266845317,5.21049773693599,3.28297404643663e-07
"4","data_combine[, 14]",5.39070054166167,1.60976204837051,3.34875613890788,0.000903342619513226
"5","data_combine[, 17]",21.8512687059037,7.9157415268335,2.76048284697401,0.00608648814469724
"6","data_combine[, 18]",11.4679353725704,3.81446107782973,3.00643659447041,0.00284116482640146
"7","data_combine[, 22]",16.1012687059037,4.03339640379963,3.99198766844133,8.04040001027059e-05
"8","data_combine[, 23]",20.8772348309087,6.5885460167111,3.16871655414654,0.00167091652913662
"9","data_combine[, 27]",15.6012687059036,4.03339640379961,3.86802266477122,0.000131626109991228
"10","data_combine[, 28]",4.16824023153779,1.57435535225703,2.64758539141886,0.00848672810525919
"11","data_combine[, 14]:data_combine[, 27]",-13.6607005416617,5.51595325161893,-2.47658018813924,0.0137536493354365
"12","data_combine[, 18]:data_combine[, 27]",-17.2575905449842,5.85486821804829,-2.94756259274731,0.00342557698763673
"13","data_combine[, 28]:data_combine[, 16]",13.5996951410326,4.76774561452763,2.8524372398547,0.00460558463968051
