,term,estimate,std.error,statistic,p.value
1,(Intercept),3.357942584,0.089803076,37.39228914,1.25E-118
2,types,0.114629775,0.090864294,1.261549164,0.208032762
3,destinations Akademiska hus,0.909454276,0.29454807,3.08762599,0.002194758
4,destinations Chalmers verksamhetsstöd,0.488240811,0.172173306,2.83575209,0.004863812
5,destinations E-huset,-0.696196712,0.252938667,-2.752432916,0.00625399
6,destinations Fysik,-0.200683926,0.154128203,-1.30205843,0.193835782
7,destinations Maskin,0.214418538,0.072829457,2.944118302,0.003476551
8,destinations Postrum SB3,1.06875418,0.256358311,4.168985892,3.95E-05
9,destinations SB3,0.342939746,0.115434393,2.970862826,0.003195168
10,destinations Stena center,-0.122731595,0.145564215,-0.843144004,0.399779662
11,commodity Clothes,0.214981773,0.124571176,1.725774618,0.085356309
12,commodity Daily necessities,0.432628792,0.178576189,2.422656647,0.01596405
13,commodity Electronic product,0.142111758,0.132158127,1.075316069,0.283045872
14,commodityIT infrastructure,0.454904979,0.109993299,4.135751772,4.53E-05
15,commodity Laboratory equipment,0.164240047,0.046046207,3.566852898,0.000416693
16,commodity Machinary,-0.467570826,0.306164939,-1.527186056,0.127705635
17,commodity Tools and supplies,0.247078754,0.123955305,1.993289072,0.047081222
18,destinations E-huset:commodity Electronic product,0.553537129,0.208122325,2.659672046,0.008216689
19,destinations Fysik:commodity Electronic product,0.393068146,0.176500335,2.227010769,0.026644196
20,destinations SB3:commodity Electronic product,0.475146242,0.279770019,1.698345819,0.090417605
21,destinations Fysik:commodityIT infrastructure,-0.404084783,0.153773151,-2.627798025,0.00900939
22,destinations SB3:commodityIT infrastructure,-0.536036943,0.165201867,-3.244739021,0.001300269
23,destinations E-huset:commodity Laboratory equipment,-0.536056773,0.218916891,-2.448677081,0.014876163
24,destinations Akademiska hus:commodity Machinary,-1.074179303,0.422887328,-2.540107572,0.011555824
25,destinations Maskin:commodity Machinary,-0.292132188,0.139279047,-2.097459696,0.036739596
26,destinations Stena center:commodity Machinary,0.666347042,0.438786618,1.518612955,0.129850379
27,destinations Fysik:commodity Tools and supplies,-0.333690783,0.169005712,-1.974434938,0.049194531
28,destinations Maskin:commodity Tools and supplies,-0.345931766,0.184015187,-1.879908781,0.061031686
29,types:commodity Electronic product,-0.671569956,0.176524435,-3.804402242,0.000170361
30,types:destinations E-huset,0.639963517,0.24669119,2.594188784,0.009918933
31,types:destinations Fysik,0.384256293,0.160910491,2.388012679,0.017521263
32,types:commodity Machinary,0.527019324,0.316978388,1.662634882,0.097367741
