,term,estimate,std.error,statistic,p.value
1,(Intercept),5.82011255,0.263425389,22.09396968,2.06E-66
2,length,0.059483818,0.002951635,20.15283832,6.00E-59
3,types,1.720561958,0.260404341,6.607270631,1.63E-10
4,destinations Biblioteket,-1.263434023,0.266458339,-4.741581849,3.19E-06
5,destinations E-huset,-2.917835405,0.671284018,-4.346648103,1.86E-05
6,destinations Fysik,0.839919951,0.383399299,2.190718537,0.029190903
7,destinations Maskin,-0.030435544,0.145511572,-0.209162357,0.834454169
8,destinations Postrum SB3,1.868645528,0.653056836,2.861382691,0.004494753
9,destinations SB3,-0.493940804,0.136823177,-3.610066766,0.00035503
10,destinations Stena center,0.230484589,0.322866331,0.713870005,0.475826292
11,destinations Vasa 2-3,-0.79229162,0.185437716,-4.272548417,2.55E-05
12,destinations Vasa 7,-2.150635972,0.650423753,-3.306515119,0.001051682
13,commodity Clothes,0.562054147,0.266888195,2.105953573,0.035984604
14,commodity Electronic product,0.993668926,0.3540231,2.806791211,0.005309553
15,commodity Food,1.377970936,0.492089628,2.800243814,0.005415788
16,commodity Laboratory equipment,0.841451741,0.320674012,2.624009771,0.009105398
17,commodity Machinary,0.310260615,0.141651278,2.190312859,0.029220573
18,commodity Tools and supplies,0.071326185,0.193908106,0.367834982,0.713238704
19,destinations E-huset:commodity Electronic product,2.521305087,0.558104761,4.517619745,8.80E-06
20,destinations Fysik:commodity Electronic product,-0.052324532,0.642479784,-0.081441523,0.935141584
21,destinations Maskin:commodity Electronic product,1.690112737,0.803830685,2.102573052,0.036281545
22,destinations SB3:commodity Electronic product,2.9247037,0.660532018,4.427800045,1.31E-05
23,destinations Stena center:commodity Machinary,-1.572195801,0.750639381,-2.09447551,0.03700137
24,destinations Maskin:commodity Tools and supplies,-0.750737064,0.346400025,-2.167254645,0.030950403
25,destinations Vasa 2-3:commodity Tools and supplies,1.218716947,0.694094578,1.755837009,0.080069952
26,types:commodity Electronic product,-3.708562791,0.584630722,-6.34342783,7.63E-10
27,types:destinations E-huset,2.789314127,0.656700325,4.24746878,2.84E-05
28,types:destinations Fysik,-0.974371618,0.400671609,-2.431845919,0.015568634
29,types:commodity Laboratory equipment,-0.585764675,0.336411299,-1.741215816,0.082603807
30,types:destinations Fysik:commodity Electronic product,3.001647949,0.846069627,3.547755234,0.000446473
