,term,estimate,std.error,statistic,p.value
1,(Intercept),3.121957346,0.092262413,33.83780292,1.35E-106
2,length,0.006904858,0.001186486,5.819584173,1.46E-08
3,volume,7.36E-06,7.43E-07,9.905695553,2.67E-20
4,types,-0.379216181,0.086679614,-4.374917735,1.66E-05
5,destinations Akademiska hus,-0.708643778,0.204432197,-3.466400049,0.000601198
6,destinations Biblioteket,0.161975113,0.076796118,2.109157561,0.035724926
7,destinations E-huset,-0.174703079,0.107800488,-1.620614918,0.106107216
8,destinations Fysik,-0.656152029,0.19904385,-3.296519975,0.001091435
9,destinations Maskin,0.098273223,0.041152882,2.38800341,0.017532909
10,destinations Postrum SB3,-0.364818726,0.149032283,-2.447917441,0.014917361
11,destinations SB3,0.075089029,0.047955484,1.56580692,0.118404244
12,destinations Stena center,-0.076113968,0.113493516,-0.67064596,0.502940642
13,commodity Clothes,-0.229970357,0.076859427,-2.992090451,0.002991074
14,commodity Daily necessities,0.183223241,0.111086783,1.649370301,0.100074995
15,commodity Electronic product,-0.145753856,0.108606606,-1.342034909,0.180557361
16,commodity Food,-0.511030883,0.19904513,-2.567412134,0.010710298
17,commodity Games,0.265647155,0.182665872,1.454279074,0.146870964
18,commodityIT infrastructure,0.160840335,0.04122307,3.90170689,0.000116961
19,commodity Laboratory equipment,-0.631840386,0.116414561,-5.427503075,1.15E-07
20,commodity Machinary,-0.548136114,0.199173968,-2.752046968,0.006267771
21,commodity Tools and supplies,0.182251232,0.076816074,2.372566346,0.018269084
22,destinations Fysik:commodity Electronic product,0.667435196,0.246304282,2.709799402,0.007103381
23,destinations Maskin:commodity Electronic product,-0.593890507,0.197634443,-3.004994972,0.002870487
24,destinations SB3:commodity Electronic product,-0.732760943,0.155269265,-4.719291636,3.57E-06
25,destinations Biblioteket:commodity Food,0.476223576,0.278177976,1.711938459,0.087898525
26,destinations Fysik:commodity Laboratory equipment,1.049479333,0.238448045,4.401291422,1.48E-05
27,destinations Stena center:commodity Laboratory equipment,0.372239392,0.188479857,1.974955824,0.049151634
28,destinations Akademiska hus:commodity Machinary,0.699483608,0.275776768,2.536412378,0.011685208
29,destinations Stena center:commodity Machinary,0.48132223,0.279140785,1.724299194,0.085641147
30,destinations Fysik:commodity Tools and supplies,-0.226763042,0.105344935,-2.152576592,0.032116065
31,destinations Maskin:commodity Tools and supplies,-0.472347696,0.111882943,-4.221802583,3.18E-05
32,types:commodity Electronic product,0.285987348,0.130455302,2.192224795,0.029099369
33,types:destinations E-huset,0.184837594,0.113884112,1.62303232,0.105589196
34,types:destinations Fysik,0.676402246,0.203139747,3.329738552,0.000973149
35,types:commodity Laboratory equipment,0.666100779,0.120619258,5.522341881,7.04E-08
36,types:commodity Machinary,0.564691861,0.203576761,2.773852278,0.00587223
37,types:destinations Fysik:commodity Electronic product,-0.863574646,0.271620037,-3.179348087,0.001623747
38,types:destinations Fysik:commodity Laboratory equipment,-1.121597232,0.247944631,-4.523579428,8.64E-06
