Destination No,Length (cm),Width (cm),Height (cm),"Volume
(cm^3)",Weight (gs),Commodity,Fragile,Inflammable,Fits_Hugo (RATE),Types
Fysik,20.5,15,14,4305,200,Unknown,0,0,0.0287,0
Stena center,27,20,1,540,34,Electronic product,0,0,0.0036,0
Stena center,31,24.5,1,759.5,135,Machinary,0,0,0.005063333,0
Stena center,43,30,1,1290,439,Electronic product,0,0,0.0086,0
Stena center,33.5,23,10.5,8090.25,369,Laboratory equipment,0,0,0.053935,0
Stena center,24,18.5,8.5,3774,216,Laboratory equipment,0,0,0.02516,0
Stena center,23,23,5,2645,220,Unknown,0,0,0.017633333,0
Stena center,23,22,19.5,9867,1358,Electronic product,0,0,0.06578,0
Kemi,61,27,27,44469,4755,Laboratory equipment,0,0,0.29646,0
Kemi,32.5,27.5,5,4468.75,227,Unknown,0,0,0.029791667,0
Kemi,20,15.5,10.5,3255,129,Laboratory equipment,0,0,0.0217,0
Kemi,18,15,5,1350,140,Machinary,0,0,0.009,0
Kemi,37,31,1,1147,94,Books,0,0,0.007646667,0
Kemi,37,31,1,1147,70,Books,0,0,0.007646667,0
Kemi,37,31,1,1147,63,Books,0,0,0.007646667,0
Kemi,27.5,15.5,12,5115,226,Laboratory equipment,0,0,0.0341,0
Kemi,22,13,8,2288,148,Laboratory equipment,0,0,0.015253333,0
Kemi,20,16,10,3200,202,Food,0,0,0.021333333,0
Kemi,21.5,13,7.5,2096.25,99,Laboratory equipment,0,0,0.013975,0
Fysik,41,32.5,31.5,41973.75,19000,Electronic product,0,0,0.279825,0
Fysik,28,21.5,13,7826,2213,Laboratory equipment,0,0,0.052173333,0
Fysik,39.5,30,3,3555,336,Electronic product,0,0,0.0237,0
Fysik,38.5,29,12.5,13956.25,1914,Laboratory equipment,0,0,0.093041667,0
Fysik,20,20,11.5,4600,671,Laboratory equipment,0,0,0.030666667,0
ACE,21,18,1,378,29,Electronic product,0,0,0.00252,0
ACE,39.5,34,30,40290,10390,Electronic product,0,0,0.2686,0
ACE,33,28,1,924,246,Electronic product,0,0,0.00616,0
ACE,33,28,1,924,205,Electronic product,0,0,0.00616,0
E-huset,39.5,30,19,22515,2852,Electronic product,0,0,0.1501,0
E-huset,26.5,22,1,583,34,Electronic product,0,0,0.003886667,0
E-huset,27,20,1,540,33,Electronic product,0,0,0.0036,0
E-huset,21.5,17.5,1,376.25,69,Electronic product,0,0,0.002508333,0
E-huset,37,22,13,10582,875,Electronic product,0,0,0.070546667,0
E-huset,16,12,7,1344,212,Electronic product,0,0,0.00896,0
E-huset,33.5,25,1,837.5,300,Electronic product,0,0,0.005583333,0
SB3,62.5,8.5,8,4250,981,Unknown,0,0,0.028333333,1
SB3,63,22.8,6.7,9623.88,173,Unknown,0,0,0.0641592,1
SB3,30,28.7,6,5166,1640,Unknown,0,0,0.03444,1
SB3,38.5,30,18,20790,631,Unknown,0,0,0.1386,1
SB3,48.3,47,35,79453.5,9000,Unknown,0,0,0.52969,1
SB3,44,32.7,11.5,16546.2,1516,Unknown,0,0,0.110308,1
ACE,30,21.2,19.2,12211.2,10750,Unknown,0,0,0.081408,1
ACE,30,21.2,19.2,12211.2,10750,Unknown,0,0,0.081408,1
ACE,30,21.2,19.2,12211.2,10750,Unknown,0,0,0.081408,1
ACE,30,21.2,19.2,12211.2,10750,Unknown,0,0,0.081408,1
ACE,38.5,28,26,28028,6000,Unknown,0,0,0.186853333,1
ACE,38.5,28,26,28028,6000,Unknown,0,0,0.186853333,1
ACE,38.5,28,26,28028,6000,Unknown,0,0,0.186853333,1
ACE,38.5,28,26,28028,6000,Unknown,0,0,0.186853333,1
ACE,38.5,28,26,28028,6000,Unknown,0,0,0.186853333,1
Fysik,18,13,8.5,1989,143,Unknown,0,0,0.01326,1
Fysik,26.3,24.5,18,11598.3,814,Unknown,0,0,0.077322,1
Fysik,32,23.5,7,5264,864,Unknown,0,0,0.035093333,1
Fysik,31,18,17,9486,1090,Unknown,0,0,0.06324,1
Fysik,47.5,31,31,45647.5,4475,Unknown,0,0,0.304316667,1
Fysik,41,38.3,23,36116.9,2590,Unknown,0,0,0.240779333,1
Fysik,35.4,35,34.5,42745.5,22410,Unknown,0,0,0.28497,1
Fysik,41,38.2,23.2,36335.84,2600,Unknown,0,0,0.242238933,1
Fysik,26,21,1,546,154,Unknown,0,0,0.00364,1
Fysik,43.2,33,23.5,33501.6,3000,Unknown,0,0,0.223344,1
Fysik,58.5,33,22.5,43436.25,4000,Unknown,0,0,0.289575,1
Fysik,55,35,21,40425,6000,Unknown,0,0,0.2695,1
Kemi,39,19.4,14.7,11122.02,432,Unknown,0,0,0.0741468,1
Kemi,31.5,23.3,17.2,12623.94,1915,Unknown,0,0,0.0841596,1
Kemi,34,26,19.8,17503.2,845,Unknown,0,0,0.116688,1
Kemi,39.5,21.6,21.6,18429.12,3020,Unknown,0,0,0.1228608,1
Kemi,31,17.8,17,9380.6,875,Unknown,0,0,0.062537333,1
Kemi,31,21.5,4,2666,178,Unknown,0,0,0.017773333,1
Kemi,41.5,21.5,21.5,19183.375,2112,Unknown,0,0,0.127889167,1
Kemi,31,17.5,17.5,9493.75,1431,Unknown,0,0,0.063291667,1
Kemi,21,18.4,14.5,5602.8,177,Unknown,0,0,0.037352,1
Kemi,21,18.5,14.5,5633.25,402,Unknown,0,0,0.037555,1
Kemi,18.5,15,14.5,4023.75,180,Unknown,0,0,0.026825,1
Kemi,39.5,21.5,21.5,18258.875,4880,Unknown,0,0,0.121725833,1
Kemi,21.5,18.5,14.6,5807.15,410,Unknown,0,0,0.038714333,1
Kemi,40.5,23,19.5,18164.25,3190,Unknown,0,0,0.121095,1
Kemi,40.5,23,19.5,18164.25,3190,Unknown,0,0,0.121095,1
Kemi,33.5,26.5,26,23081.5,11500,Unknown,0,0,0.153876667,1
Kemi,33.5,26.5,26,23081.5,11500,Unknown,0,0,0.153876667,1
Kemi,33.5,26.5,26,23081.5,11500,Unknown,0,0,0.153876667,1
Kemi,33.5,26.5,26,23081.5,11500,Unknown,0,0,0.153876667,1
Kemi,33.5,26.5,26,23081.5,11500,Unknown,0,0,0.153876667,1
Kemi,33.5,26.5,26,23081.5,11500,Unknown,0,0,0.153876667,1
Kemi,47,24,22.5,25380,12950,Unknown,0,0,0.1692,1
Kemi,25.4,15,11.5,4381.5,502,Unknown,0,0,0.02921,1
Kemi,32,27,1,864,992,Unknown,0,0,0.00576,1
Kemi,54,35,23.5,44415,5120,Unknown,0,0,0.2961,1
Maskin,16.5,13.5,8.6,1915.65,371,Unknown,0,0,0.012771,1
Maskin,26.5,21,1,556.5,101,Unknown,0,0,0.00371,1
Maskin,30,26.5,18.3,14548.5,4180,Unknown,0,0,0.09699,1
Maskin,60,39.5,18.5,43845,15500,Unknown,0,0,0.2923,1
Maskin,59.5,39.5,20,47005,19300,Unknown,0,0,0.313366667,1
Maskin,41.5,32,23.5,31208,2852,Unknown,0,0,0.208053333,1
Maskin,38.5,30,19,21945,4025,Unknown,0,0,0.1463,1
Maskin,38,29,13,14326,2534,Unknown,0,0,0.095506667,1
Maskin,43,40,31.5,54180,6752,Unknown,0,0,0.3612,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,24.7,19,16,7508.8,2428,Unknown,0,0,0.050058667,1
E-huset,27.5,20.5,17.4,9809.25,899,Unknown,0,0,0.065395,1
E-huset,33.5,24,1,804,233,Unknown,0,0,0.00536,1
E-huset,39.5,29.8,4.2,4943.82,634,Unknown,0,0,0.0329588,1
E-huset,31.5,23,7.5,5433.75,661,Unknown,0,0,0.036225,1
E-huset,26,17,14,6188,401,Unknown,0,0,0.041253333,1
E-huset,24.6,18.5,15.5,7054.05,205,Unknown,0,0,0.047027,1
E-huset,31.5,23,6.5,4709.25,294,Unknown,0,0,0.031395,1
E-huset,22,11.6,10,2552,256,Unknown,0,0,0.017013333,1
E-huset,24.5,24,21.2,12465.6,546,Unknown,0,0,0.083104,1
E-huset,50.5,36.5,19,35021.75,1427,Unknown,0,0,0.233478333,1
E-huset,39.5,24.2,19.8,18926.82,10000,Unknown,0,0,0.1261788,1
E-huset,39.5,24.2,19.8,18926.82,10000,Unknown,0,0,0.1261788,1
E-huset,34.5,22.2,19,14552.1,2952,Unknown,0,0,0.097014,1
Vasa 2-3,31,22.5,1,697.5,471,Unknown,0,0,0.00465,1
Vasa 2-3,33.5,23.5,4,3149,1074,Unknown,0,0,0.020993333,1
Vasa 2-3,34.7,27,8,7495.2,2692,Unknown,0,0,0.049968,1
Vasa 2-3,18,13,8.7,2035.8,363,Unknown,0,0,0.013572,1
Vasa 2-3,32,23,17,12512,1980,Unknown,0,0,0.083413333,1
Vasa 2-3,32,23,10.2,7507.2,963,Unknown,0,0,0.050048,1
Vasa 2-3,32,12,7.5,2880,617,Unknown,0,0,0.0192,1
Chalmers verksamhetsstöd,93.5,38.4,24.5,87964.8,60000,Unknown,0,0,0.586432,1
Chalmers verksamhetsstöd,44.5,33,33,48460.5,4020,Unknown,0,0,0.32307,1
Biblioteket,33.5,23.5,4.5,3542.625,2428,Unknown,0,0,0.0236175,1
Biblioteket,38.5,29.5,9,10221.75,4175,Unknown,0,0,0.068145,1
Chalmers verksamhetsstöd,74.5,13.5,11,11063.25,3245,Unknown,0,0,0.073755,1
SB3,68,60,30.5,124440,21000,Electronic product,0,0,0.8296,1
SB3,51.5,16,4.5,3708,802,IT infrastructure,0,0,0.02472,1
SB3,38.5,30,18,20790,867,IT infrastructure,0,0,0.1386,1
SB3,38.5,30,18,20790,867,IT infrastructure,0,0,0.1386,1
SB3,25,24.5,1.5,918.75,1974,IT infrastructure,0,0,0.006125,1
SB3,30.3,28.5,6,5181.3,1000,IT infrastructure,0,0,0.034542,1
SB3,30.3,28.5,6,5181.3,1000,IT infrastructure,0,0,0.034542,1
SB3,44,32.5,11,15730,4000,IT infrastructure,0,0,0.104866667,1
SB3,58,40,20.5,47560,1000,IT infrastructure,0,0,0.317066667,1
Fysik,53,50.7,47.6,127905.96,8000,Electronic product,1,0,0.8527064,1
Fysik,41,26.5,25.5,27705.75,7800,Laboratory equipment,0,0,0.184705,1
Fysik,41,26.5,25.5,27705.75,7800,Laboratory equipment,0,0,0.184705,1
Fysik,41,26.5,25.5,27705.75,7800,Laboratory equipment,0,0,0.184705,1
Fysik,46.5,38,34.5,60961.5,3500,Machinary,0,0,0.40641,1
Fysik,47.5,33,27.5,43106.25,2000,Laboratory equipment,0,0,0.287375,1
Fysik,55.5,31,21.5,36990.75,6350,Laboratory equipment,1,0,0.246605,1
Fysik,55,35,13.5,25987.5,1000,Unknown,0,0,0.17325,1
Fysik,59.5,39.4,21,49230.3,2200,Daily necessities,0,0,0.328202,1
Fysik,33,25,16.5,13612.5,2000,Laboratory equipment,0,0,0.09075,1
Fysik,17.5,16.5,4.5,1299.375,1000,Machinary,0,0,0.0086625,1
Fysik,32,22.7,10,7264,1000,IT infrastructure,0,0,0.048426667,1
Fysik,44,33,11,15972,1000,IT infrastructure,0,0,0.10648,1
Fysik,40.5,23,20.5,19095.75,13000,Electronic product,0,0,0.127305,1
Kemi,23,22.5,8.7,4502.25,236,Laboratory equipment,1,0,0.030015,1
Kemi,39,39,38.3,58254.3,1180,Laboratory equipment,1,1,0.388362,1
Kemi,60,47,41,115620,17600,Laboratory equipment,1,1,0.7708,1
Kemi,39,38.5,29,43543.5,2210,Laboratory equipment,0,0,0.29029,1
Kemi,22,16.5,13.5,4900.5,418,Medical supply,0,1,0.03267,1
Kemi,33,25,19.2,15840,2366,Laboratory equipment,1,1,0.1056,1
Kemi,33,25,19.2,15840,2366,Laboratory equipment,1,1,0.1056,1
Kemi,33.5,23.5,4.5,3542.625,1538,Unknown,0,0,0.0236175,1
Kemi,38.5,38.5,28,41503,1700,Laboratory equipment,0,0,0.276686667,1
Kemi,38.5,38.5,28,41503,2210,Laboratory equipment,1,1,0.276686667,1
Kemi,40,32.5,26.5,34450,1770,Laboratory equipment,1,1,0.229666667,1
Kemi,38.5,38.5,28,41503,3550,Laboratory equipment,1,0,0.276686667,1
Maskin,38.5,26,21,21021,12000,Machinary,1,0,0.14014,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,49.5,41,30,60885,,Clothes,0,0,0.4059,1
Maskin,31,22,2.5,1705,1500,Unknown,0,0,0.011366667,1
Maskin,26,21.5,16.5,9223.5,1200,Machinary,0,0,0.06149,1
Maskin,26.5,16.5,13.5,5902.875,1000,Unknown,0,0,0.0393525,1
Maskin,60,60,30.5,109800,15300,Unknown,1,0,0.732,1
Vasa 7,33.5,24,2,1608,1000,Unknown,0,0,0.01072,1
Vasa 2-3,82,45,14,51660,15000,IT infrastructure,0,0,0.3444,1
Akademiska hus,29,20.5,16,9512,1000,Machinary,0,0,0.063413333,1
Biblioteket,35.5,24.5,1,869.75,1000,Books,0,0,0.005798333,1
E-huset,39,29.5,19.5,22434.75,1000,Electronic product,1,0,0.149565,1
E-huset,63,41.3,31.2,81179.28,10000,Unknown,0,0,0.5411952,1
E-huset,35,28.5,28,27930,25000,Electronic product,0,0,0.1862,1
E-huset,44,33,32.5,47190,18000,IT infrastructure,0,0,0.3146,1
ACE,38,29,13,14326,5500,Tools and supplies,0,0,0.095506667,1
ACE,37,12.5,12.5,5781.25,1000,Machinary,0,0,0.038541667,1
SB3,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667,1
SB3,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667,1
SB3,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667,1
SB3,67,41.5,16,44488,9000,IT infrastructure,0,0,0.296586667,1
Fysik,30.5,16,16,7808,150,Electronic product,0,0,0.052053333,1
Fysik,29,19.2,11,6124.8,800,Tools and supplies,0,0,0.040832,1
Fysik,64.5,13.5,11.5,10013.625,452,Laboratory equipment,1,0,0.0667575,1
Fysik,64.5,13.5,11.5,10013.625,452,Laboratory equipment,1,0,0.0667575,1
Fysik,22.5,16,7.5,2700,420,IT infrastructure,0,0,0.018,1
Fysik,36,36,27,34992,1000,Laboratory equipment,1,0,0.23328,1
Fysik,32,23,10,7360,1061,IT infrastructure,0,0,0.049066667,1
Fysik,32.4,23.5,17,12943.8,1000,IT infrastructure,0,0,0.086292,1
Fysik,32.5,23,7,5232.5,1000,IT infrastructure,0,0,0.034883333,1
Fysik,45.5,32,14,20384,5000,IT infrastructure,0,0,0.135893333,1
Fysik,46,38.8,17,30341.6,2500,IT infrastructure,0,0,0.202277333,1
Fysik,60.2,42,16.5,41718.6,2500,IT infrastructure,1,0,0.278124,1
Fysik,60.2,42,16.5,41718.6,2500,IT infrastructure,1,0,0.278124,1
Vasa 2-3,33.5,24,5.5,4422,1344,Books,0,0,0.02948,1
Vasa 2-3,33.7,23,3,2325.3,650,Books,0,0,0.015502,1
Vasa 2-3,32,23,7,5152,300,IT infrastructure,0,0,0.034346667,1
Biblioteket,25,17,8,3400,1000,Unknown,0,0,0.022666667,1
Biblioteket,33.5,24,3,2412,1314,Books,0,0,0.01608,1
Biblioteket,33.5,24,3,2412,1885,Books,0,0,0.01608,1
