Destination No,"Length
 (cm)",Width (cm),Height (cm),"Volume
(cm^3)",Weight (gs),Commodity,Fragile,Inflammable,Fits_Hugo (RATE)
18,62.5,8,8.5,4250,981,Unknown,0,0,0.028333333
18,63,22.8,6.7,9623.88,173,Unknown,0,0,0.0641592
18,30,28.7,6,5166,1640,Unknown,0,0,0.03444
18,38.5,30,18,20790,631,Unknown,0,0,0.1386
18,48.3,47,35,79453.5,9000,Unknown,0,0,0.52969
18,44,32.7,11.5,16546.2,1516,Unknown,0,0,0.110308
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,30,19.2,21.2,12211.2,10750,Unknown,0,0,0.081408
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
1,38.5,26,28,28028,6000,Unknown,0,0,0.186853333
8,18,13,8.5,1989,143,Unknown,0,0,0.01326
8,26.3,24.5,18,11598.3,814,Unknown,0,0,0.077322
8,32,23.5,7,5264,864,Unknown,0,0,0.035093333
8,31,18,17,9486,1090,Unknown,0,0,0.06324
8,47.5,31,31,45647.5,4475,Unknown,0,0,0.304316667
8,38.3,23,41,36116.9,2590,Unknown,0,0,0.240779333
8,35,34.5,35.4,42745.5,22410,Unknown,0,0,0.28497
8,38.2,23.2,41,36335.84,2600,Unknown,0,0,0.242238933
8,26,21,1,546,154,Unknown,0,0,0.00364
8,43.2,23.5,33,33501.6,3000,Unknown,0,0,0.223344
8,58.5,22.5,33,43436.25,4000,Unknown,0,0,0.289575
8,55,35,21,40425,6000,Unknown,0,0,0.2695
12,39,19.4,14.7,11122.02,432,Unknown,0,0,0.0741468
12,31.5,23.3,17.2,12623.94,1915,Unknown,0,0,0.0841596
12,26,19.8,34,17503.2,845,Unknown,0,0,0.116688
