Dest_Building,Length,Width,Height,Volume,Weight,Commodity,Fragile,Inflammable,Fits_Hugo (rate),Packet Type
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,Books,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,EXP
Kemi,,,,,,Books,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,IT infrastructure,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,IT infrastructure,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,EXP
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,Books,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,Laboratory equipment,,,,PKG
Kemi,,,,,,IT infrastructure,,,,PKG
Kemi,,,,,,IT infrastructure,,,,PKG
Kemi,,,,,,IT infrastructure,,,,PKG
Kemi,,,,,,Books,,,,PKG
Kemi,,,,,,Tools and supplies,,,,PKG
Kemi,,,,,,Books,,,,PKG
Kemi,,,,,,Books,,,,PKG
Kemi,,,,,,Daily necessities,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,Electronic product,,,,PKG
Kemi,,,,,,Daily necessities,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,Tools and supplies,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,IT infrastructure,,,,PKG
Kemi,,,,,,IT infrastructure,,,,PKG
Kemi,,,,,,unknown,,,,PKG
Kemi,,,,,,unknown,,,,PKG
