Length,Width,height,volume,Weight,fragile,iflammable,fits_rate,types,destinationsAkademiska hus,destinationsBiblioteket,destinationsChalmers verksamhetsstöd,destinationsE-huset,destinationsFysik,destinationsKemi,destinationsMaskin,destinationsPostrum SB3,destinationsSB3,destinationsStena center,destinationsVasa 2-3,destinationsVasa 7,commodityClothes,commodityDaily necessities,commodityElectronic product,commodityFood,commodityGames,commodityIT infrastructure,commodityLaboratory equipment,commodityMachinary,commodityMedical supply,commodityRubber products,commodityTools and supplies,commodityUnknown
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.01197633,24.2794649,2.309658566,2241.027778,235.2235383,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53.75007459,39.80173499,22.09172191,46973.62574,17252.45008,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53.75007459,39.80173499,22.09172191,46973.62574,17252.45008,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.01197633,24.2794649,2.309658566,2241.027778,235.2235383,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.78458573,25.18420991,24.72035227,24969.78943,3280.884137,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53.75007459,39.80173499,22.09172191,46973.62574,17252.45008,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53.75007459,39.80173499,22.09172191,46973.62574,17252.45008,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53.75007459,39.80173499,22.09172191,46973.62574,17252.45008,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.89153212,24.2723909,19.35630428,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.2093741,25.1588501,21.21229969,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20.42026183,18.66010979,0.994545709,714.8671919,377.7496585,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43.2093741,25.1588501,21.21229969,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.89153212,24.2723909,19.35630428,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53.75007459,39.80173499,22.09172191,46973.62574,17252.45008,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53.75007459,39.80173499,22.09172191,46973.62574,17252.45008,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.73581861,23.06234787,18.63735552,16327.52177,3999.10569,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
