"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",23.4578356714986,0.669495608916194,35.038072481869,6.66411718054899e-113
"2","data_combine[, 14]",-18.4935499572148,7.57361855289535,-2.44183804981105,0.0151405561758097
"3","data_combine[, 15]",-8.45783567150041,4.11293391139678,-2.05639960517335,0.0405347939754546
"4","data_combine[, 16]",5.46494133494519,1.60753640430312,3.3995754748175,0.00075817994967752
"5","data_combine[, 18]",6.08340832729094,2.76029800316963,2.20389549255385,0.02822604253362
"6","data_combine[, 23]",12.077222993556,4.20068666214594,2.87505923790715,0.00430346164959312
"7","data_combine[, 25]",16.2500000000017,7.22536160742112,2.24902238571858,0.0251742253991796
"8","data_combine[, 28]",10.3682690078472,3.26289552354284,3.17762825473167,0.00162614630149598
"9","data_combine[, 29]",-5.52926424292728,1.95169009964493,-2.83306465710577,0.00489569336602197
"10","data_combine[, 25]:data_combine[, 10]",-12.7078356715004,8.12361714567915,-1.56430755457986,0.118709615830317
"11","data_combine[, 16]:data_combine[, 25]",-16.2623805998187,4.10540278417157,-3.96121439351055,9.15131571462524e-05
"12","data_combine[, 25]:data_combine[, 19]",-15.7078356715001,8.16742119066765,-1.92323076094672,0.05531651860007
"13","data_combine[, 15]:data_combine[, 28]",-9.30992793465794,4.27584608469585,-2.17732999510439,0.0301683910723433
"14","data_combine[, 18]:data_combine[, 28]",-9.29227162732657,4.48161372289576,-2.07342091529532,0.0389133705760739
"15","data_combine[, 15]:data_combine[, 29]",14.0292642429289,5.80950598133731,2.41488076404381,0.0162869961876395
"16","data_combine[, 10]:data_combine[, 30]",-10.9578356714987,3.4473665555588,-3.17861054079946,0.00162081208924484
"17","data_combine[, 10]:data_combine[, 33]",16.0421643285014,7.58593721009796,2.1147241117613,0.0352074183612189
"18","data_combine[, 16]:data_combine[, 33]",-7.92277700644396,2.76514597758161,-2.8652292033324,0.00443592135896276
"19","data_combine[, 25]:data_combine[, 9]",-16.410396406627,7.44376620571943,-2.20458245908073,0.0281772848728448
"20","data_combine[, 14]:data_combine[, 9]",17.4938745192811,7.62238986040866,2.29506425670324,0.0223603579903795
"21","data_combine[, 15]:data_combine[, 9]",13.5416589268124,4.21569309270384,3.21220227113997,0.00144784407578494
"22","data_combine[, 29]:data_combine[, 9]",9.92812653592393,2.13561260227691,4.64884245641691,4.84440632414899e-06
"23","data_combine[, 15]:data_combine[, 29]:data_combine[, 9]",-20.0531187960696,6.34225752684904,-3.16182663841347,0.00171421664122346
