"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",22.9188992828775,0.589328276894884,38.8898686545894,1.233880383436e-126
"2","data_combine[, 16]",6.0089574432043,1.44065811361513,4.1709808777085,3.86233266915036e-05
"3","data_combine[, 18]",6.56998960601132,2.47933954710389,2.64989505519149,0.00843125969065891
"4","data_combine[, 23]",12.0721432739182,2.89528403367754,4.16958859078995,3.88483201405132e-05
"5","data_combine[, 24]",11.5068181818182,4.31112241458557,2.66910031199482,0.00797354433204334
"6","data_combine[, 28]",10.2061007171225,2.62146937543032,3.89327482242554,0.000119238122925691
"7","data_combine[, 16]:data_combine[, 25]",-16.4278567260818,7.35229397632237,-2.23438518358852,0.0261130214930382
"8","data_combine[, 28]:data_combine[, 15]",-8.39928253530429,3.643935089831,-2.30500333519768,0.0217735765894776
"9","data_combine[, 18]:data_combine[, 28]",-9.07774822670104,3.80419000502169,-2.38624995458114,0.0175726624685111
"10","data_combine[, 10]:data_combine[, 33]",16.5811007171224,5.14261444125772,3.22425507619179,0.00138658189483495
"11","data_combine[, 16]:data_combine[, 33]",-7.9278567260818,3.24924620875752,-2.43990643267176,0.0152060439948013
"12","data_combine[, 15]:data_combine[, 9]",4.87428253530429,1.23839976414466,3.93595240925361,0.000100684501419734
"13","data_combine[, 9]:data_combine[, 29]",4.93202582393797,1.16334458966157,4.23952272419367,2.89615122154786e-05
"14","data_combine[, 15]:data_combine[, 9]:data_combine[, 29]",-5.8085409754531,2.62479701521748,-2.2129486363241,0.0275708826508529
