InputID,TargetID,Distance
Transport Central,ACE,21.62921918
Transport Central,Akademiska hus,216.2631484
Transport Central,Biblioteket,245.7795289
Transport Central,CFAB,648.1893702
Transport Central,Chalmers verksamhetsstod,385.4734184
Transport Central,E-huset,91.73190579
Transport Central,Fysik,388.9161932
Transport Central,GMV,663.5327934
Transport Central,Karen/Cremona,370.0739837
Transport Central,Kemi,347.0390727
Transport Central,Maskin,102.7615887
Transport Central,Mattematiska Vetenskaper,254.9430241
Transport Central,Mistra Urban Futures,699.3325979
Transport Central,SB3,237.0839472
Transport Central,SGI,527.8584659
Transport Central,Stiftelsen,623.5560678
Transport Central,Teknikparken,424.209161
Transport Central,Vasa 11 V3,520.6536716
Transport Central,Vasa 15,439.3257425
Transport Central,Vasa 2-3,644.6929078
Transport Central,Vasa 7,578.8647979
ACE,Transport Central,21.62921918
ACE,Akademiska hus,211.3850538
ACE,Biblioteket,250.2833711
ACE,CFAB,649.0945788
ACE,Chalmers verksamhetsstod,375.4742603
ACE,E-huset,71.31390384
ACE,Fysik,381.7692638
ACE,GMV,664.314437
ACE,Karen/Cremona,355.3658753
ACE,Kemi,348.8755884
ACE,Maskin,94.32784662
ACE,Mattematiska Vetenskaper,252.7919943
ACE,Mistra Urban Futures,702.3068118
ACE,SB3,215.9508128
ACE,SGI,528.392553
ACE,Stiftelsen,628.146613
ACE,Teknikparken,406.9167913
ACE,Vasa 11 V3,524.1989464
ACE,Vasa 15,444.1496083
ACE,Vasa 2-3,647.415583
ACE,Vasa 7,577.5350935
Akademiska hus,Transport Central,216.2631484
Akademiska hus,ACE,211.3850538
Akademiska hus,Biblioteket,105.6026649
Akademiska hus,CFAB,446.3448011
Akademiska hus,Chalmers verksamhetsstod,181.6298317
Akademiska hus,E-huset,183.6499638
Akademiska hus,Fysik,174.4700108
Akademiska hus,GMV,461.0446093
Akademiska hus,Karen/Cremona,206.6705738
Akademiska hus,Kemi,158.8271571
Akademiska hus,Maskin,118.2586229
Akademiska hus,Mattematiska Vetenskaper,49.93201167
Akademiska hus,Mistra Urban Futures,507.0833739
Akademiska hus,SB3,235.6278421
Akademiska hus,SGI,325.620755
Akademiska hus,Stiftelsen,442.2161838
Akademiska hus,Teknikparken,538.5599769
Akademiska hus,Vasa 11 V3,335.0973927
Akademiska hus,Vasa 15,266.4777374
Akademiska hus,Vasa 2-3,451.7509707
Akademiska hus,Vasa 7,369.1746342
Biblioteket,Transport Central,245.7795289
Biblioteket,ACE,250.2833711
Biblioteket,Akademiska hus,105.6026649
Biblioteket,CFAB,406.3590062
Biblioteket,Chalmers verksamhetsstod,246.527394
Biblioteket,E-huset,251.1321919
Biblioteket,Fysik,216.1474403
Biblioteket,GMV,421.9452362
Biblioteket,Karen/Cremona,299.2225039
Biblioteket,Kemi,106.4884515
Biblioteket,Maskin,176.8274248
Biblioteket,Mattematiska Vetenskaper,77.54419328
Biblioteket,Mistra Urban Futures,453.9241374
Biblioteket,SB3,334.9916617
Biblioteket,SGI,288.0884221
Biblioteket,Stiftelsen,377.9594837
Biblioteket,Teknikparken,623.9657182
Biblioteket,Vasa 11 V3,274.9941902
Biblioteket,Vasa 15,193.8697728
Biblioteket,Vasa 2-3,399.5652084
Biblioteket,Vasa 7,345.8144158
CFAB,Transport Central,648.1893702
CFAB,ACE,649.0945788
CFAB,Akademiska hus,446.3448011
CFAB,Biblioteket,406.3590062
CFAB,Chalmers verksamhetsstod,371.1966744
CFAB,E-huset,629.9844817
CFAB,Fysik,323.6697728
CFAB,GMV,15.73748234
CFAB,Karen/Cremona,470.1157433
CFAB,Kemi,301.459867
CFAB,Maskin,561.627994
CFAB,Mattematiska Vetenskaper,399.0583387
CFAB,Mistra Urban Futures,83.16619616
CFAB,SB3,649.2302893
CFAB,SGI,120.9551101
CFAB,Stiftelsen,111.802637
CFAB,Teknikparken,966.7974647
CFAB,Vasa 11 V3,145.0472142
CFAB,Vasa 15,228.9121484
CFAB,Vasa 2-3,54.64936854
CFAB,Vasa 7,94.70096718
Chalmers verksamhetsstod,Transport Central,385.4734184
Chalmers verksamhetsstod,ACE,375.4742603
Chalmers verksamhetsstod,Akademiska hus,181.6298317
Chalmers verksamhetsstod,Biblioteket,246.527394
Chalmers verksamhetsstod,CFAB,371.1966744
Chalmers verksamhetsstod,E-huset,325.9560659
Chalmers verksamhetsstod,Fysik,55.23576055
Chalmers verksamhetsstod,GMV,382.5394725
Chalmers verksamhetsstod,Karen/Cremona,100.5314322
Chalmers verksamhetsstod,Kemi,205.647376
Chalmers verksamhetsstod,Maskin,282.7142922
Chalmers verksamhetsstod,Mattematiska Vetenskaper,172.9021286
Chalmers verksamhetsstod,Mistra Urban Futures,448.8446789
Chalmers verksamhetsstod,SB3,292.6064513
Chalmers verksamhetsstod,SGI,268.3836976
Chalmers verksamhetsstod,Stiftelsen,412.9520296
Chalmers verksamhetsstod,Teknikparken,607.2461952
Chalmers verksamhetsstod,Vasa 11 V3,316.3586504
Chalmers verksamhetsstod,Vasa 15,289.8203871
Chalmers verksamhetsstod,Vasa 2-3,397.9013932
Chalmers verksamhetsstod,Vasa 7,277.8218123
E-huset,Transport Central,91.73190579
E-huset,ACE,71.31390384
E-huset,Akademiska hus,183.6499638
E-huset,Biblioteket,251.1321919
E-huset,CFAB,629.9844817
E-huset,Chalmers verksamhetsstod,325.9560659
E-huset,Fysik,340.6396527
E-huset,GMV,644.6945709
E-huset,Karen/Cremona,293.2546061
E-huset,Kemi,337.1372868
E-huset,Maskin,74.30776095
