CTC,ACE,Biblioteket,E-huset,Fysik,Kemi,Maskin,SB3,Vasa 2-3,
,1,,,,,,,,
,1,,,,,,,,
,1,,,,,,,,
,,1,,,,,,,
,,,1,,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,1,,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,1,,,,
,,,,,,1,,,
,,,,,,1,,,
,,,,,,1,,,
,,,,,,1,,,
,,,,,,1,,,
,,,,,,1,,,
,,,,,,1,,,
,,,,,,1,,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,1,,
,,,,,,,,1,
,,,,,,,,1,
